animal	bli_dpi	flux
13949	328	671000
14121	328	381000
14123	328	220000
14052	329	373888.8888888889
14054	329	209444.44444444444
14055	329	314444.44444444444
14067	330	612000
14068	330	908000
14069	330	781000
14070	330	506000
14071	330	361000
14072	330	504000
14125	331	652000
14126	331	398000
14016	332	898000
14021	332	285000
14022	332	279000
14031	332	634000
14035	332	536000
14036	332	376000
13982	335	595000
13983	335	898000
13984	335	337000
13985	335	504000
13986	335	585000
13987	335	637000
14005	335	900000
14007	335	555555.5555555555
13970	339	411666.6666666666
13974	339	864000
13975	339	342000
13960	340	775000
14076	340	1780000
14077	340	927000
13859	341	406000
14046	341	771000
14049	341	957000
13865	342	299000
13866	342	240000
13867	342	416000
13954	344	253333.3333333333
13955	344	507222.2222222222
13958	344	219000
13959	344	247000
13916	345	149000
13917	345	721000
14075	346	655000
13935	347	644000
13936	347	722000
13937	347	344000
14060	347	457000
14061	347	291000
14063	347	461000
13850	349	258000
13851	349	379000
13946	349	1030000
13947	349	692000
13949	349	1170000
14121	349	784000
14123	349	438000
14052	350	577000
14054	350	397000
14055	350	312000
14067	351	1140000
14068	351	521000
14069	351	524000
14070	351	653000
14071	351	299000
14072	351	917000
14125	352	291000
14126	352	393000
14016	353	503000
14021	353	229000
14022	353	283000
14031	353	643000
14035	353	752000
14036	353	419000
13982	356	734000
13983	356	1120000
13984	356	320000
13985	356	342000
13986	356	544000
13987	356	406000
14005	356	662000
14007	356	903000
13970	360	370000
13974	360	709000
13975	360	367000
13960	361	697000
14076	361	1510000
14077	361	1640000
13859	362	332000
14046	362	303000
14049	362	340000
13865	363	226000
13866	363	614000
13867	363	364000
13954	365	536000
13955	365	651000
13958	365	400000
13959	365	267000
13916	366	297000
13917	366	476000
14075	367	770000
13935	368	854000
13936	368	793000
13937	368	378000
14060	368	774000
14061	368	661000
14063	368	757000
13850	370	241000
13851	370	542000
13946	370	658000
13947	370	705000
13949	370	344000
14121	370	340600
14123	370	318900
14052	371	297000
14054	371	704000
14055	371	360000
14067	372	1240000
14068	372	560000
14069	372	620000
14070	372	439000
14071	372	211000
14072	372	723000
14125	373	1076000
14126	373	692700
14016	374	858000
14021	374	509000
14022	374	309000
14031	374	384000
14035	374	306000
14036	374	369000
13982	377	593000
13983	377	561000
13984	377	488000
13985	377	338000
13986	377	485000
13987	377	681000
14005	377	1250000
14007	377	1220000
13970	381	728000
13974	381	722000
13975	381	607000
13960	382	721000
14076	382	2035000
14077	382	768800
13859	383	1020000
14046	383	884000
14049	383	406200
13865	384	497000
13866	384	222000
13867	384	370000
13954	386	506000
13955	386	437000
13958	386	302000
13959	386	237000
13916	387	361000
13917	387	515000
14075	388	574800
13935	389	816000
13936	389	996000
13937	389	564000
14060	389	537055.5555555555
14061	389	531000
14063	389	1112777.7777777778
13850	391	270000
13851	391	391000
13946	391	562000
13947	391	1160000
13949	391	540000
14052	392	437900
14054	392	450222.2222222222
14055	392	425722.2222222222
14067	393	1073000
14068	393	756700
14069	393	692200
14070	393	370700
14071	393	332100
14072	393	684400
14121	393	559700
14123	393	352100
14016	395	783000
14021	395	422166.6666666666
14022	395	284000
14031	395	678700
14035	395	295700
14036	395	797222.2222222222
14125	396	331100
14126	396	570300
13982	398	627222.2222222222
13983	398	701600
13984	398	952200
13985	398	457200
13986	398	330300
13987	398	229300
14005	398	495944.44444444444
14007	398	649444.4444444444
13970	402	617000
13974	402	417400
13975	402	371600
13960	403	730500
13859	404	671000
13865	405	316000
13866	405	262000
13867	405	327000
14076	405	1875000
14077	405	1300000
14046	406	766100
14049	406	362700
13954	407	578333.3333333334
13955	407	463277.77777777775
13958	407	170900
13959	407	359700
13916	408	208500
13917	408	329722.2222222222
13935	410	699700
13936	410	794400
13937	410	616800
14075	411	356700
13850	412	491400
13851	412	503100
13946	412	309200
13947	412	1228000
13949	412	550200
14060	412	374777.77777777775
14061	412	739444.4444444444
14063	412	457555.55555555556
14121	413	498600
14123	413	252000
14052	415	239666.66666666666
14054	415	459944.44444444444
14055	415	360277.77777777775
14067	416	1212000
